mzmed,rtmed,neg_c1
567.1565976,11.09831667,35.57224621
449.0986536,11.11100833,30.71696117
887.2273296,11.11100833,45.1689545
636.166374,11.11110833,33.24732156
842.2330817,11.11125,38.69042431
628.683421,11.1124,23.42571619
617.6944723,11.12335,77.55230536
862.2155532,11.12398333,46.45439445
926.4334603,11.12398333,58.36100604
788.3207618,11.12398333,97.85400844
513.0510569,11.12398333,31.73245654
850.2169951,11.12408333,106.238495
144.0319833,11.12408333,47.42524021
867.2254054,11.12418333,93.85141502
501.0980111,11.12418333,48.60415031
823.2608397,11.12418333,6977.628552
907.2108555,11.12418333,36.96248417
827.2704938,11.12418333,44.31920957
510.0925672,11.12455,84.01012512
879.1834627,11.12465833,52.54421496
617.1920636,11.12465833,176.9672955
824.2635269,11.12465833,2669.749845
411.1269023,11.12465833,14764.72483
413.1312577,11.12465833,488.8649811
409.8275742,11.12465833,99.80653189
628.1833993,11.12465833,74.08675608
878.1792663,11.12465833,54.55808564
846.2442423,11.12465833,129.474546
704.2549096,11.125125,50.60815407
569.1697207,11.125125,107.516522
834.2501092,11.125125,72.18208324
876.1718602,11.12513333,165.8432328
643.6476993,11.12513333,124.1275637
820.6370206,11.12513333,40.2262218
475.0970768,11.12513333,76.35297897
861.213472,11.12513333,87.74219882
659.1275932,11.12513333,60.10115235
246.9928904,11.12513333,86.78551674
921.2292218,11.12513333,25.1084358
847.2423093,11.12513333,34.74028749
414.1354842,11.12514167,117.8039135
510.0430001,11.12515,351.5730646
511.0487791,11.12515,241.2122225
455.0901072,11.12515,84.27003282
825.2652327,11.12515,741.3949207
474.1216529,11.12515,165.3157106
877.178139,11.12515,162.9241936
826.2681662,11.12515,152.4135695
412.1297576,11.12515,2902.199705
845.2416248,11.12515,358.1488804
479.1134056,11.12515,409.6714776
509.0933363,11.12515,281.6989493
842.7364702,11.12516667,34.79983995
701.2176436,11.12525833,64.20031634
495.0837893,11.12526667,110.308373
560.0246778,11.12528333,61.88341062
437.5822055,11.1254,30.11819173
697.1234315,11.1254,29.22639736
447.1023428,11.1254,71.29181282
484.0454037,11.12559167,37.28841987
656.0642558,11.12560833,89.41021919
823.7604704,11.12560833,62.81557651
554.0338273,11.12560833,29.89687368
541.0832905,11.125725,75.55300969
766.2113663,11.12595,36.88416325
551.0781004,11.12605,41.70481544
552.056338,11.12605,31.83429169
512.0516016,11.12605,49.49828645
578.0307736,11.12624167,28.53077667
480.1156157,11.12643333,149.354082
433.1081642,11.12643333,54.13260022
465.0448659,11.1266,61.72560121
562.0060609,11.12808333,16.50073727
702.2226334,11.13904167,43.20112688
542.0865049,11.15206667,30.99494384
759.3297222,11.15206667,40.11311705
696.1210085,11.152125,131.8383463
775.23317,11.15240833,126.375454
774.230694,11.153625,468.2855367
615.3202666,11.17840833,8.269924762
641.2971517,11.1792,47.56714324
614.3150381,11.17943333,49.28821166
724.3255309,11.17956667,90.23922749
640.2933198,11.1797,148.1095289
283.987661,11.18034167,406.9145787
284.9907536,11.18071667,47.98630397
427.2318562,11.18243333,23.48926638
625.1498083,11.19320833,137.2821012
645.132735,11.19579167,155.4073251
508.152672,11.20675,168.8193235
644.1343112,11.20675,302.5656626
643.1306526,11.20679167,1267.283797
382.0781909,11.20791667,49.05993635
665.1136857,11.23415,97.68493726
312.1930825,11.234325,685.455491
313.1960722,11.23618333,126.3128437
507.1494666,11.236225,524.7704517
696.3697021,11.23793333,97.41957
544.1978116,11.23793333,90.26389889
654.3930451,11.24513333,45.74250455
721.1436266,11.247075,285.4074521
230.9976583,11.247075,5447.575491
232.99537,11.257325,349.2966626
410.1483218,11.25853333,193.3862785
608.3040014,11.25853333,240.8620009
232.0006598,11.25998333,530.8455512
936.3837181,11.26028333,51.98228881
444.0927006,11.260475,25.51773043
936.8866324,11.26106667,38.9905661
609.3061728,11.26131667,68.29337534
401.2173222,11.26134167,52.25058951
314.9487633,11.26136667,53.78751125
252.9796526,11.26138333,109.8517852
330.921562,11.2614,81.4981599
375.9184703,11.26141667,70.79408691
395.1929192,11.263925,205.0546066
435.9518476,11.26400833,36.79593699
787.2620948,11.2667,30.02039865
634.1721436,11.27744167,36.45952691
418.1699701,11.28865,105.689464
564.2881399,11.2892,119.8218017
564.7907289,11.29149167,75.91524983
591.0698771,11.30526667,318.6414754
437.2401475,11.31545,206.7010917
262.0587721,11.31555,91.60775491
438.2405422,11.315925,42.61582749
375.1293111,11.31613333,522.0479534
590.30234,11.31613333,58.8753612
376.1327747,11.319325,89.83441746
425.2032454,11.319325,360.2719054
412.1705673,11.31943333,35.17299744
426.2071862,11.32121667,84.99761033
289.0861131,11.34373333,245.4456245
276.0550284,11.34408333,78.93648097
532.2685654,11.34513333,58.80493954
270.0084025,11.346975,267.4003625
635.1154491,11.34875833,125.5685561
271.0117734,11.352,36.77836666
634.1118183,11.3571,346.8986818
518.1659388,11.3622,266.7779283
636.1113813,11.3622,72.92572218
531.2658283,11.36903333,200.6062537
612.1770819,11.37125,85.02676811
523.115704,11.37131667,28.73616731
533.2790526,11.3733,42.26212474
648.3606217,11.37666667,40.75861195
567.1423661,11.37666667,121.7175079
510.1668548,11.38076667,184.9768724
350.1453395,11.38076667,36.43358174
526.1593301,11.39471667,82.35443266
530.1564411,11.39895,35.3061005
842.2984286,11.39895,193.492487
843.3021369,11.399325,84.07160288
509.1650836,11.402325,541.7076875
616.2459277,11.40361667,27.4418102
453.1971586,11.40424167,84.10877356
345.0405758,11.42666667,34.0747723
348.9526,11.42975,53.68703743
383.0922345,11.43138333,80.81172863
598.2809151,11.43465,37.46000173
306.5340399,11.43465,63.20663903
597.2763789,11.43486667,107.3303708
235.0733794,11.43495,393.5420984
664.1230962,11.44061667,57.91752199
365.0994861,11.44061667,65.56993954
236.0761059,11.44658333,46.26756894
364.0972203,11.449025,302.6238083
549.2188391,11.45053333,72.37825923
363.9848649,11.45053333,51.96610337
181.0517201,11.452975,75.29803958
160.0416571,11.45448333,135.2239052
204.0314048,11.456025,457.0875653
616.3184718,11.46256667,143.3242056
331.1033699,11.46521667,91.32164738
303.1453424,11.473475,96.20444427
541.1184559,11.474475,57.1991481
617.3215521,11.47593333,46.48849996
627.2615882,11.48265,98.93064038
365.1436314,11.48316667,84.41168153
200.987335,11.48710833,535.2265984
815.256983,11.4892,153.5934862
393.1333424,11.49098333,244.694222
436.1641029,11.49156667,54.41999944
374.1383721,11.49875,66.49314149
519.2080564,11.4993,52.40316729
